"Distance [mm]","Voltage [V]"
1.88028144,-0.780740463145191
1.88457432,-0.780254156663442
1.8888672,-0.779767850181703
1.89316008,-0.779281543699971
1.89745296,-0.778795237218196
1.90174584,-0.778308930736368
1.90603872,-0.777822624254483
1.9103316,-0.777336317772537
1.91462448,-0.77685001129053
1.91891736,-0.776363704808464
1.92321024,-0.775877398326317
1.92750312,-0.775391091844006
1.931796,-0.774904785361488
1.93608888,-0.774418478878763
1.94038176,-0.77393217239583
1.94467464,-0.77344586591269
1.94896752,-0.772959559429347
1.9532604,-0.772473252945779
1.95755328,-0.771986946461947
1.96184616,-0.771500639977853
1.96613904,-0.771014333493496
1.97043192,-0.770528027008876
1.9747248,-0.770041720523969
1.97901768,-0.769555414038767
1.98331056,-0.769069107553267
1.98760344,-0.768582801067469
1.99189632,-0.768096494581374
1.9961892,-0.767610188094981
2.00048208,-0.767123881608291
2.00477496,-0.766637575121304
2.00906784,-0.766151268634037
2.01336072,-0.765664962146491
2.0176536,-0.765178655658667
2.02194648,-0.764692349170588
2.02623936,-0.76420604268255
2.03053224,-0.763719736194517
2.03482512,-0.76323342970649
2.039118,-0.762747123218468
2.04341088,-0.762260816730452
2.04770376,-0.76177451024244
2.05199664,-0.761288203754432
2.05628952,-0.760801897266429
2.0605824,-0.76031559077843
2.06487528,-0.759829284290435
2.06916816,-0.759342977802445
2.07346104,-0.758856671314458
2.07775392,-0.75837036482647
2.0820468,-0.757884058338483
2.08633968,-0.757397751850496
2.09063256,-0.756911445362511
2.09492544,-0.756425138874529
2.09921832,-0.755938832386551
2.1035112,-0.755452525898582
2.10780408,-0.754966219410621
2.11209696,-0.754479912922668
2.11638984,-0.753993606434723
2.12068272,-0.753507299946786
2.1249756,-0.753020993458858
2.12926848,-0.752534686970939
2.13356136,-0.752048380483028
2.13785424,-0.751562073995125
2.14214712,-0.751075767507231
2.14644,-0.750589461019357
2.15073288,-0.750103154531506
2.15502576,-0.749616848043677
2.15931864,-0.749130541555873
2.16361152,-0.748644235068102
2.1679044,-0.748157928580341
2.17219728,-0.747671622092582
2.17649016,-0.747185315604826
2.18078304,-0.746699009117073
2.18507592,-0.746212702629322
2.1893688,-0.745726396141578
2.19366168,-0.745240089653829
