"Distance [mm]","Voltage [V]"
2.35679112,-0.773809925641324
2.361084,-0.774304312194873
2.36537688,-0.774798698748178
2.36966976,-0.775293085301238
2.37396264,-0.775787471854054
2.37825552,-0.776281858406625
2.3825484,-0.776776244958954
2.38684128,-0.777270631511038
2.39113416,-0.777765018062878
2.39542704,-0.778259404614473
2.39971992,-0.778753791165823
2.4040128,-0.779248177716928
2.40830568,-0.779742564267789
2.41259856,-0.780236950818404
2.41689144,-0.780731337368777
2.42118432,-0.781225723918902
2.4254772,-0.781720110468778
2.42977008,-0.782214497018404
2.43406296,-0.782708883567782
2.43835584,-0.783203270116912
2.44264872,-0.783697656665791
2.4469416,-0.784192043214423
2.45123448,-0.784686429762805
2.45552736,-0.785180816310938
2.45982024,-0.785675202858822
2.46411312,-0.786169589406458
2.468406,-0.786663975953844
2.47269888,-0.787158362500981
2.47699176,-0.78765274904787
2.48128464,-0.788147135594509
2.48557752,-0.7886415221409
2.4898704,-0.789135908687041
2.49416328,-0.789630295232933
2.49845616,-0.790124681778571
2.50274904,-0.790619068323959
2.50704192,-0.791113454869097
2.5113348,-0.791607841413985
2.51562768,-0.792102227958623
2.51992056,-0.792596614503006
2.52421344,-0.793091001047138
2.52850632,-0.79358538759102
2.5327992,-0.794079774134653
2.53709208,-0.794574160678036
2.54138496,-0.795068547221168
2.54567784,-0.795562933764051
2.54997072,-0.796057320306686
2.5542636,-0.796551706849069
2.55855648,-0.797046093391203
2.56284936,-0.797540479933088
2.56714224,-0.798034866474723
2.57143512,-0.798529253016108
2.575728,-0.799023639557243
2.58002088,-0.799518026098129
2.58431376,-0.800012412638765
2.58860664,-0.800506799179151
2.59289952,-0.801001185719287
2.5971924,-0.801495572259174
2.60148528,-0.801989958798811
2.60577816,-0.802484345338198
2.61007104,-0.802978731877336
2.61436392,-0.803473118416223
2.6186568,-0.803967504954858
2.62294968,-0.804461891493242
2.62724256,-0.804956278031375
2.63153544,-0.80545066456926
2.63582832,-0.805945051106899
2.6401212,-0.806439437644282
2.64441408,-0.80693382418141
2.64870696,-0.807428210718282
2.65299984,-0.807922597254899
