"Distance [mm]","Voltage [mV]"
3.78100352,-550.381306846093
3.78522339,-549.877213371404
3.78944326,-549.373119896716
3.79366313,-548.86902642203
3.797883,-548.364932947344
3.80210287,-547.86083947266
3.80632274,-547.356745997977
3.81054261,-546.852652523297
3.81476248,-546.348559048618
3.81898235,-545.84446557394
3.82320222,-545.340372099265
3.82742209,-544.836278624594
3.83164196,-544.332185149928
3.83586183,-543.828091675266
3.8400817,-543.323998200609
3.84430157,-542.819904725957
3.84852144,-542.31581125131
3.85274131,-541.811717776667
3.85696118,-541.307624302029
3.86118105,-540.803530827395
3.86540092,-540.299437352764
3.86962079,-539.795343878135
3.87384066,-539.291250403508
3.87806053,-538.787156928884
3.8822804,-538.283063454262
3.88650027,-537.778969979642
3.89072014,-537.274876505023
3.89494001,-536.770783030404
3.89915988,-536.266689555787
3.90337975,-535.762596081168
3.90759962,-535.258502606548
3.91181949,-534.754409131927
3.91603936,-534.250315657304
3.92025923,-533.746222182674
3.9244791,-533.242128708055
3.92869897,-532.738035233473
3.93291884,-532.233941758932
3.93713871,-531.729848284454
3.94135858,-531.225754810185
3.94557845,-530.721661335806
3.94979832,-530.217567861657
3.95401819,-529.71347438656
3.95823806,-529.20938091044
3.96245793,-528.705287432885
3.9666778,-528.201193947128
3.97089767,-527.697100469375
3.97511754,-527.19300700062
3.97933741,-526.688913544596
3.98355728,-526.184820087824
3.98777715,-525.680726623254
3.99199702,-525.176633174741
3.99621689,-524.672539701555
4.00043676,-524.168446142416
4.00465663,-523.664352538729
4.0088765,-523.160258907174
4.01309637,-522.656164894842
4.01731624,-522.152071862619
4.02153611,-521.647980408372
4.02575598,-521.143889125832
4.02997585,-520.639802712051
4.03419572,-520.135721798977
4.03841559,-519.63162464537
4.04263546,-519.127512161459
4.04685533,-518.623407444942
4.0510752,-518.119305810822
4.05529507,-517.615618408607
4.05951494,-517.111844445714
4.06373481,-516.607948175362
4.06795468,-516.103355510739
4.07217455,-515.597962765424
4.07639442,-515.09266286155
4.08061429,-514.59618076921
4.08483416,-514.169732951882
4.08905403,-514.032713633581
4.0932739,-513.917694752754
4.09749377,-513.829987759654
4.10171364,-513.767128993267
4.10593351,-513.713607092585
4.11015338,-513.672788279868
4.11437325,-513.644965849181
4.11859312,-513.620992685826
4.12281299,-513.597800508724
4.12703286,-513.576535249471
4.13125273,-513.557016813349
4.1354726,-513.539522254832
4.13969247,-513.524080350936
4.14391234,-513.509756565688
4.14813221,-513.49664097134
4.15235208,-513.48485732084
4.15657195,-513.474251386251
4.16079182,-513.464790091037
4.16501169,-513.456188599808
4.16923156,-513.448391694753
4.17345143,-513.441377197673
4.1776713,-513.4351547387
4.18189117,-513.429683053571
4.18611104,-513.424824163969
4.19033091,-513.420564175411
