Scalar,data,"SurfaceValue(Surface(PDF_Geometry_3), VOLTAGE)",
NumElems,136,,
3.00E-07,-1.99E-03,3.52E-08,"		9.9999999341882684e-01"
4.00E-07,-1.99E-03,3.53E-08,"		9.9998073097866191e-01"
3.50E-07,-1.99E-03,3.53E-08,"		9.9998060807080491e-01"
3.00E-07,-1.99E-03,3.53E-08,"		9.9998050344511846e-01"
3.00E-07,-1.99E-03,3.56E-08,"		9.9998602405117853e-01"
3.00E-07,-1.99E-03,3.54E-08,"		9.9999901338969710e-01"
3.50E-07,-1.99E-03,3.54E-08,"		9.9999483383225596e-01"
3.00E-07,-1.99E-03,3.53E-08,"		9.9998050344511846e-01"
3.50E-07,-1.99E-03,3.53E-08,"		9.9998060807080491e-01"
4.00E-07,-1.99E-03,3.53E-08,"		9.9998073097866191e-01"
4.00E-07,-1.99E-03,3.56E-08,"		9.9999296043819719e-01"
3.50E-07,-1.99E-03,3.56E-08,"		9.9998944548926394e-01"
4.00E-07,-1.99E-03,3.54E-08,"		9.9999615913876649e-01"
3.00E-07,-1.99E-03,3.56E-08,"		9.9998602405117853e-01"
3.50E-07,-1.99E-03,3.54E-08,"		9.9999483383225596e-01"
4.00E-07,-1.99E-03,3.53E-08,"		9.9998073097866191e-01"
4.00E-07,-2.00E-03,3.58E-08,"		9.9997409484186994e-01"
4.00E-07,-2.00E-03,3.59E-08,"		9.9998879457073020e-01"
3.50E-07,-2.00E-03,3.59E-08,"		9.9999140018416421e-01"
4.00E-07,-2.00E-03,3.60E-08,"		1.0000348342944205e+00"
3.50E-07,-2.00E-03,3.60E-08,"		1.0000371544623303e+00"
3.00E-07,-2.00E-03,3.60E-08,"		1.0000391186698523e+00"
4.00E-07,-2.00E-03,3.58E-08,"		9.9997409484186994e-01"
3.50E-07,-2.00E-03,3.59E-08,"		9.9999140018416421e-01"
3.50E-07,-1.99E-03,3.57E-08,"		9.9997018550997174e-01"
3.00E-07,-2.00E-03,3.60E-08,"		1.0000391186698523e+00"
3.00E-07,-2.00E-03,3.58E-08,"		9.9997006174742775e-01"
3.00E-07,-1.99E-03,3.56E-08,"		9.9998602405117853e-01"
4.00E-07,-2.00E-03,3.58E-08,"		9.9997409484186994e-01"
3.50E-07,-1.99E-03,3.57E-08,"		9.9997018550997174e-01"
4.00E-07,-1.99E-03,3.57E-08,"		9.9996660784187652e-01"
3.00E-07,-1.99E-03,3.56E-08,"		9.9998602405117853e-01"
3.50E-07,-1.99E-03,3.56E-08,"		9.9998944548926394e-01"
4.00E-07,-1.99E-03,3.56E-08,"		9.9999296043819719e-01"
3.00E-07,-2.00E-03,3.63E-08,"		9.9997853538516301e-01"
3.00E-07,-2.00E-03,3.61E-08,"		9.9999880381329120e-01"
3.50E-07,-2.00E-03,3.61E-08,"		9.9999634074336263e-01"
3.00E-07,-2.00E-03,3.60E-08,"		1.0000391186698523e+00"
3.50E-07,-2.00E-03,3.60E-08,"		1.0000371544623303e+00"
4.00E-07,-2.00E-03,3.60E-08,"		1.0000348342944205e+00"
3.00E-07,-2.00E-03,3.63E-08,"		9.9997853538516301e-01"
3.50E-07,-2.00E-03,3.61E-08,"		9.9999634074336263e-01"
3.50E-07,-2.00E-03,3.64E-08,"		9.9997195159736274e-01"
4.00E-07,-2.00E-03,3.60E-08,"		1.0000348342944205e+00"
4.00E-07,-2.00E-03,3.63E-08,"		9.9994714139798901e-01"
4.00E-07,-2.00E-03,3.65E-08,"		9.9996501139643901e-01"
3.00E-07,-2.00E-03,3.65E-08,"		9.9997247263048594e-01"
3.00E-07,-2.00E-03,3.64E-08,"		9.9997162373748005e-01"
3.50E-07,-2.00E-03,3.65E-08,"		9.9996863718928952e-01"
3.00E-07,-2.00E-03,3.63E-08,"		9.9997853538516301e-01"
3.50E-07,-2.00E-03,3.64E-08,"		9.9997195159736274e-01"
4.00E-07,-2.00E-03,3.65E-08,"		9.9996501139643901e-01"
3.00E-07,-2.00E-03,3.69E-08,"		1.0000236614265556e+00"
3.50E-07,-2.00E-03,3.71E-08,"		1.0000230353685817e+00"
3.00E-07,-2.00E-03,3.71E-08,"		1.0000065791967596e+00"
4.00E-07,-2.01E-03,3.73E-08,"		1.0000053125804349e+00"
3.50E-07,-2.01E-03,3.73E-08,"		9.9997855465751662e-01"
3.00E-07,-2.01E-03,3.73E-08,"		9.9996451684999932e-01"
4.00E-07,-2.00E-03,3.65E-08,"		9.9996501139643901e-01"
4.00E-07,-2.00E-03,3.69E-08,"		1.0001056197682634e+00"
3.50E-07,-2.00E-03,3.67E-08,"		1.0000225988159739e+00"
4.00E-07,-2.01E-03,3.73E-08,"		1.0000053125804349e+00"
3.50E-07,-2.00E-03,3.71E-08,"		1.0000230353685817e+00"
3.00E-07,-2.00E-03,3.69E-08,"		1.0000236614265556e+00"
3.00E-07,-2.00E-03,3.69E-08,"		1.0000236614265556e+00"
3.00E-07,-2.00E-03,3.67E-08,"		1.0000225969116392e+00"
3.50E-07,-2.00E-03,3.67E-08,"		1.0000225988159739e+00"
3.00E-07,-2.00E-03,3.65E-08,"		9.9997247263048594e-01"
3.50E-07,-2.00E-03,3.65E-08,"		9.9996863718928952e-01"
4.00E-07,-2.00E-03,3.65E-08,"		9.9996501139643901e-01"
4.00E-07,-2.01E-03,3.73E-08,"		1.0000053125804349e+00"
4.00E-07,-2.01E-03,3.76E-08,"		1.0000298307524782e+00"
3.50E-07,-2.01E-03,3.73E-08,"		9.9997855465751662e-01"
4.00E-07,-2.01E-03,3.79E-08,"		1.0000136256588692e+00"
3.50E-07,-2.01E-03,3.76E-08,"		1.0000055377269899e+00"
3.00E-07,-2.01E-03,3.73E-08,"		9.9996451684999932e-01"
4.00E-07,-2.01E-03,3.79E-08,"		1.0000136256588692e+00"
3.50E-07,-2.01E-03,3.82E-08,"		1.0000047728779429e+00"
3.50E-07,-2.01E-03,3.76E-08,"		1.0000055377269899e+00"
3.00E-07,-2.01E-03,3.85E-08,"		9.9999342698595339e-01"
3.00E-07,-2.01E-03,3.79E-08,"		1.0000137442219892e+00"
3.00E-07,-2.01E-03,3.73E-08,"		9.9996451684999932e-01"
4.00E-07,-2.01E-03,3.79E-08,"		1.0000136256588692e+00"
4.00E-07,-2.01E-03,3.82E-08,"		1.0000089266976999e+00"
3.50E-07,-2.01E-03,3.82E-08,"		1.0000047728779429e+00"
4.00E-07,-2.01E-03,3.85E-08,"		9.9999443777390162e-01"
3.50E-07,-2.01E-03,3.85E-08,"		9.9999365014388475e-01"
3.00E-07,-2.01E-03,3.85E-08,"		9.9999342698595339e-01"
3.00E-07,-2.01E-03,3.85E-08,"		9.9999342698595339e-01"
3.50E-07,-2.01E-03,3.85E-08,"		9.9999365014388475e-01"
3.00E-07,-2.01E-03,3.93E-08,"		1.0000023580785153e+00"
4.00E-07,-2.01E-03,3.85E-08,"		9.9999443777390162e-01"
3.50E-07,-2.01E-03,3.93E-08,"		1.0000306494494686e+00"
3.00E-07,-2.01E-03,4.01E-08,"		9.9998884788394604e-01"
4.00E-07,-2.01E-03,4.01E-08,"		9.9998214255640494e-01"
3.50E-07,-2.01E-03,4.01E-08,"		9.9998512143896923e-01"
4.00E-07,-2.01E-03,3.93E-08,"		9.9999120866560731e-01"
3.00E-07,-2.01E-03,4.01E-08,"		9.9998884788394604e-01"
3.50E-07,-2.01E-03,3.93E-08,"		1.0000306494494686e+00"
4.00E-07,-2.01E-03,3.85E-08,"		9.9999443777390162e-01"
3.00E-07,-2.01E-03,4.01E-08,"		9.9998884788394604e-01"
3.50E-07,-2.01E-03,4.01E-08,"		9.9998512143896923e-01"
3.00E-07,-2.01E-03,4.07E-08,"		9.9996561902826653e-01"
4.00E-07,-2.01E-03,4.01E-08,"		9.9998214255640494e-01"
3.50E-07,-2.01E-03,4.07E-08,"		9.9996226610465411e-01"
3.00E-07,-2.02E-03,4.13E-08,"		9.9998558073264099e-01"
3.00E-07,-2.02E-03,4.13E-08,"		9.9998558073264099e-01"
3.50E-07,-2.01E-03,4.07E-08,"		9.9996226610465411e-01"
3.50E-07,-2.02E-03,4.19E-08,"		1.0000379666793617e+00"
4.00E-07,-2.01E-03,4.01E-08,"		9.9998214255640494e-01"
4.00E-07,-2.02E-03,4.13E-08,"		9.9999053662480442e-01"
4.00E-07,-2.02E-03,4.25E-08,"		1.0001943082969031e+00"
4.00E-07,-2.02E-03,4.25E-08,"		1.0001943082969031e+00"
3.50E-07,-2.02E-03,4.25E-08,"		1.0000997246535437e+00"
3.50E-07,-2.02E-03,4.19E-08,"		1.0000379666793617e+00"
